Sample_ID,Line,Age,Date.of.differentiation,Region,Version,Condition,Glutamatergic_ODS,GABAergic_ODS,Non_neuronal_ODS,Dividing_Progenitor_ODS,Neural_Progenitor_ODS,Intermediate_Progenitor_ODS,Microglia_ODS,Glutamatergic_mean_RPKM,GABAergic_mean_RPKM,Non_neuronal_mean_RPKM,Dividing_Progenitor_mean_RPKM,Neural_Progenitor_mean_RPKM,Intermediate_Progenitor_mean_RPKM,Microglia_mean_RPKM,ER_stress_mean_RPKM,oxidative_stress_mean_RPKM,glycolytic_stress_mean_RPKM
21047XR-55-22,8858.3,30,December_2022,cortical,v0,baseline_feeding_schedule,0.5099337260872825,0.9526050523982372,-0.44772057647756935,0.8367981795456989,0.8046854378626274,-0.12384905935810253,0.9884521702680845,3.731561824840707,2.1311419439042565,1.6770181630990604,4.918852058831804,7.196671772397359,4.997388293321316,3.889057651474833,7.6616162761942475,22.67596695865718,21.040349329050503
21047XR-55-23,8858.3,30,December_2022,cortical,v0,baseline_feeding_schedule,0.5304905803695986,0.9568253001924409,-0.4020187771584529,0.8486413712748634,0.7914826713307496,-0.24176930724078116,0.9732489755422367,4.2776185389467365,2.5461499992548,1.7712693303897589,4.75943712799683,6.864989741909204,6.810166017347527,4.416946639690066,7.286058435082159,23.70438680866563,23.193853131186874
21047XR-55-24,8858.3,30,December_2022,cortical,v0,baseline_feeding_schedule,0.651052834420285,0.9053404115670063,-0.6156356616603373,0.8593551117853555,0.6590526540784436,0.524292826100157,0.9479390955478485,3.6377754400666222,2.369881070459166,1.8181706200656487,4.714556482804706,7.286668812127715,6.541809145647115,4.593490193119341,7.745119665771071,22.9767742181416,30.303239061154837
21047XR-63-22,C4.1,30,December_2022,cortical,v0,baseline_feeding_schedule,0.5959977244222994,0.9627811726086815,-0.4269938528391306,0.8178267622931562,0.6935925430504837,0.7585594118849988,0.9195957428411179,3.917009659465987,1.8182795563261207,1.3906575899378517,7.250031151114346,8.422717615774276,2.971782560811037,5.88746926263425,7.598385087165753,24.4904382875281,33.93012087546068
21047XR-63-23,C4.1,30,December_2022,cortical,v0,baseline_feeding_schedule,0.6065272021455842,0.966627807148011,-0.8455992193013768,0.8236233130781176,0.6694114572494121,0.5028672579010299,0.8716849188812832,3.171040030261297,1.5861432544461307,1.3302678566717108,9.383341532449032,8.480935018209406,2.3492807349145832,6.896821709246791,8.322798375349095,27.849144210240077,38.4270105358123
21047XR-63-24,C4.1,30,December_2022,cortical,v0,baseline_feeding_schedule,0.9103903299091601,0.8017290120173247,-0.3590660637377143,0.8152946929617086,0.7452547247458357,-0.7330671163343097,0.8973937057217969,3.235327336080255,1.5332264058788854,1.298951148772919,8.976321385641894,8.34827322121961,2.431561267516258,7.021821856057268,8.298504477163105,28.62361586401962,35.714369797645546
21047R-94-16,C4.1,30,April_2023,spinal,v5,baseline_feeding_schedule,0.8836948676977263,0.8061406814255876,-0.496345559756886,0.8161523401150479,0.7366747863775334,-0.82424896817861,0.8930787641156378,27.429885408290993,12.472639642183603,0.8278078919410223,1.1361729439678625,4.797655796364368,1.0911853152074897,4.487843341569613,6.393283581181324,25.125145417630847,37.89220836586606
21047R-94-17,C4.1,30,April_2023,spinal,v5,baseline_feeding_schedule,0.9071179670731487,0.8162132714487678,-0.5865533297051606,0.82606590164762,0.7106225827767776,-0.7685229184544125,0.89179865860631,24.48696435825359,11.610624537193493,1.0151126186922153,1.7759140691333328,6.380428140235641,1.147804855504597,5.005716145789811,7.075996352472028,27.39999013874027,43.38992831918655
21047R-94-18,C4.1,30,April_2023,spinal,v5,baseline_feeding_schedule,0.44583382635769253,0.9552151357750951,-1.0201830883139857,0.712887720281944,0.5968785483549139,-0.10474008495322029,0.7200018410667883,29.402098433723644,12.844130408608125,0.8161693313137701,1.2460914037144266,4.889673647268168,0.9538770938510847,5.208469246777916,6.4760201605807,28.634085513573176,37.91308943806288
21047R-94-22,8858.3,30,April_2023,cortical,v5,baseline_feeding_schedule,0.5799370029481092,0.8584598239862259,-1.1771938801760027,0.7988029465723164,0.5322840669194897,0.933614401882773,0.714997082794695,3.6972668461784117,2.1973194299322163,1.7474369550690307,7.215191984381068,8.737788605969609,4.727066748886996,5.153511196008773,8.443799908603959,36.62114643585315,19.72052852267493
21047R-94-23,8858.3,30,April_2023,cortical,v5,baseline_feeding_schedule,0.5282013838281061,0.9644792968575193,-1.0802566254900055,0.7344172049821536,0.47756483186569576,0.6549257577328241,0.7042776867149428,3.413852864807907,2.001610414058531,1.614574335266694,8.506848695518997,8.203674321922918,4.0260626861542175,4.8399283034909635,9.164648156712929,37.613136892723276,16.717804676328402
21047R-94-31,8858.3,30,April_2023,subpallial,v5,baseline_feeding_schedule,0.9318096490624227,0.39130700852182254,-0.0538680502395561,0.8245494087317574,0.8492296487839792,-0.3399965129751077,0.8172945067930641,3.7045970914614945,3.2604604312693626,1.877672902294943,7.229951586349838,10.315963107836733,2.9044628406624273,4.594450562129343,8.194089764410608,31.125668223714527,28.93719974169032
21047R-94-32,8858.3,30,April_2023,subpallial,v5,baseline_feeding_schedule,0.8846318487949284,0.3423095197033792,-0.1325698030249456,0.8211596381113062,0.8569688326833427,-0.30660324404729455,0.8241732484439783,3.9628860056255966,3.306487398024833,1.940672367035064,7.192039458292975,10.066200712745792,3.439893824788002,4.536335932838869,7.546126147701595,31.47995112259512,24.698544389022082
